  Matnum      sand     silt    clay     bd     om   TH33       TH1500 
 1	 0.413	 0.348	 0.239	 1.410	 0.088	 0.382	  0.209	
 2	 0.359	 0.362	 0.279	 1.350	 0.079	 0.374	  0.255	
 3	 0.398	 0.312	 0.290	 1.450	 0.058	 0.307	  0.202	
 4	 0.383	 0.339	 0.278	 1.450	 0.050	 0.276	  0.177	
 5	 0.532	 0.277	 0.191	 1.560	 0.022	 0.214	  0.144	
 6	 0.605	 0.248	 0.147	 1.490	 0.010	 0.253	  0.116	
 7	 0.407	 0.339	 0.254	 1.430	 0.003	 0.355	  0.202	
 8	 0.394	 0.361	 0.245	 1.450	 0.003	 0.368	  0.191	
 9	 0.394	 0.361	 0.245	 1.450	 0.003	 0.368	  0.191	
